left_border_x,left_border_y,right_border_x,right_border_y
-15.0,-10.0,-15.0,-15.0
-14.7,-10.0,-14.7,-15.0
-14.4,-10.0,-14.4,-15.0
-14.1,-10.0,-14.1,-15.0
-13.8,-10.0,-13.8,-15.0
-13.5,-10.0,-13.5,-15.0
-13.2,-10.0,-13.2,-15.0
-12.9,-10.0,-12.9,-15.0
-12.6,-10.0,-12.6,-15.0
-12.3,-10.0,-12.3,-15.0
-12.0,-10.0,-12.0,-15.0
-11.7,-10.0,-11.7,-15.0
-11.4,-10.0,-11.4,-15.0
-11.1,-10.0,-11.1,-15.0
-10.8,-10.0,-10.8,-15.0
-10.5,-10.0,-10.5,-15.0
-10.2,-10.0,-10.2,-15.0
-9.9,-10.0,-9.9,-15.0
-9.600000000000001,-10.0,-9.600000000000001,-15.0
-9.3,-10.0,-9.3,-15.0
-9.0,-10.0,-9.0,-15.0
-8.7,-10.0,-8.7,-15.0
-8.4,-10.0,-8.4,-15.0
-8.100000000000001,-10.0,-8.100000000000001,-15.0
-7.800000000000001,-10.0,-7.800000000000001,-15.0
-7.5,-10.0,-7.5,-15.0
-7.2,-10.0,-7.2,-15.0
-6.9,-10.0,-6.9,-15.0
-6.6,-10.0,-6.6,-15.0
-6.300000000000001,-10.0,-6.300000000000001,-15.0
-6.0,-10.0,-6.0,-15.0
-5.700000000000001,-10.0,-5.700000000000001,-15.0
-5.4,-10.0,-5.4,-15.0
-5.1,-10.0,-5.1,-15.0
-4.800000000000001,-10.0,-4.800000000000001,-15.0
-4.5,-10.0,-4.5,-15.0
-4.200000000000001,-10.0,-4.200000000000001,-15.0
-3.9000000000000004,-10.0,-3.9000000000000004,-15.0
-3.5999999999999996,-10.0,-3.5999999999999996,-15.0
-3.3000000000000007,-10.0,-3.3000000000000007,-15.0
-3.0,-10.0,-3.0,-15.0
-2.700000000000001,-10.0,-2.700000000000001,-15.0
-2.4000000000000004,-10.0,-2.4000000000000004,-15.0
-2.0999999999999996,-10.0,-2.0999999999999996,-15.0
-1.8000000000000007,-10.0,-1.8000000000000007,-15.0
-1.5,-10.0,-1.5,-15.0
-1.200000000000001,-10.0,-1.200000000000001,-15.0
-0.9000000000000004,-10.0,-0.9000000000000004,-15.0
-0.6000000000000014,-10.0,-0.6000000000000014,-15.0
-0.3000000000000007,-10.0,-0.3000000000000007,-15.0
0.0,-10.0,0.0,-15.0
0.29999999999999893,-10.0,0.29999999999999893,-15.0
0.5999999999999996,-10.0,0.5999999999999996,-15.0
0.8999999999999986,-10.0,0.8999999999999986,-15.0
1.1999999999999993,-10.0,1.1999999999999993,-15.0
1.5,-10.0,1.5,-15.0
1.8000000000000007,-10.0,1.8000000000000007,-15.0
2.099999999999998,-10.0,2.099999999999998,-15.0
2.3999999999999986,-10.0,2.3999999999999986,-15.0
2.6999999999999993,-10.0,2.6999999999999993,-15.0
3.0,-10.0,3.0,-15.0
3.3000000000000007,-10.0,3.3000000000000007,-15.0
3.599999999999998,-10.0,3.599999999999998,-15.0
3.8999999999999986,-10.0,3.8999999999999986,-15.0
4.199999999999999,-10.0,4.199999999999999,-15.0
4.5,-10.0,4.5,-15.0
4.800000000000001,-10.0,4.800000000000001,-15.0
5.099999999999998,-10.0,5.099999999999998,-15.0
5.399999999999999,-10.0,5.399999999999999,-15.0
5.699999999999999,-10.0,5.699999999999999,-15.0
6.0,-10.0,6.0,-15.0
6.300000000000001,-10.0,6.300000000000001,-15.0
6.599999999999998,-10.0,6.599999999999998,-15.0
6.899999999999999,-10.0,6.899999999999999,-15.0
7.199999999999999,-10.0,7.199999999999999,-15.0
7.5,-10.0,7.5,-15.0
7.800000000000001,-10.0,7.800000000000001,-15.0
8.099999999999998,-10.0,8.099999999999998,-15.0
8.399999999999999,-10.0,8.399999999999999,-15.0
8.7,-10.0,8.7,-15.0
9.0,-10.0,9.0,-15.0
9.3,-10.0,9.3,-15.0
9.599999999999998,-10.0,9.599999999999998,-15.0
9.899999999999999,-10.0,9.899999999999999,-15.0
10.2,-10.0,10.2,-15.0
10.5,-10.0,10.5,-15.0
10.8,-10.0,10.8,-15.0
11.099999999999998,-10.0,11.099999999999998,-15.0
11.399999999999999,-10.0,11.399999999999999,-15.0
11.7,-10.0,11.7,-15.0
12.0,-10.0,12.0,-15.0
12.3,-10.0,12.3,-15.0
12.599999999999998,-10.0,12.599999999999998,-15.0
12.899999999999999,-10.0,12.899999999999999,-15.0
13.2,-10.0,13.2,-15.0
13.5,-10.0,13.5,-15.0
13.799999999999997,-10.0,13.799999999999997,-15.0
14.099999999999998,-10.0,14.099999999999998,-15.0
14.399999999999999,-10.0,14.399999999999999,-15.0
14.7,-10.0,14.7,-15.0
15.0,-10.0,15.000000000000002,-15.0
15.314107590781283,-9.995065603657316,15.471161386171925,-14.992598405485975
15.627905195293135,-9.980267284282716,15.941857792939704,-14.970400926424073
15.941083133185142,-9.9556196460308,16.411624699777715,-14.9334294690462
16.253332335643044,-9.921147013144779,16.879998503464563,-14.881720519717168
16.564344650402308,-9.876883405951379,17.346516975603464,-14.815325108927066
16.87381314585725,-9.822872507286887,17.810719718785872,-14.734308760930329
17.181432413965428,-9.759167619387473,18.27214862094814,-14.63875142908121
17.48689887164855,-9.68583161128631,18.73034830747282,-14.528747416929466
17.789911060392292,-9.60293685676943,19.184866590588438,-14.404405285154146
18.090169943749473,-9.510565162951535,19.635254915624213,-14.265847744427303
18.387379202452916,-9.408807689542254,20.081068803679372,-14.113211534313383
18.68124552684678,-9.297764858882513,20.52186829027017,-13.94664728832377
18.971478906347805,-9.177546256839811,20.957218359521708,-13.766319385259717
19.25779291565073,-9.048270524660195,21.38668937347609,-13.572405786990291
19.539904997395467,-8.910065241883679,21.8098574960932,-13.365097862825516
19.817536741017154,-8.763066800438637,22.22630511152573,-13.144600200657953
20.090414157503716,-8.607420270039436,22.63562123625557,-12.911130405059152
20.358267949789965,-8.443279255020151,23.03740192468495,-12.664918882530227
20.62083377852131,-8.270805742745617,23.43125066778196,-12.406208614118427
20.877852522924734,-8.090169943749475,23.816778784387097,-12.135254915624213
21.129070536529767,-7.901550123756903,24.19360580479465,-11.852325185635355
21.3742398974869,-7.705132427757891,24.561359846230346,-11.557698641636836
21.61311865323652,-7.501110696304595,24.91967797985478,-11.251666044456892
21.845471059286886,-7.289686274214114,25.268206588930333,-10.934529411321172
22.071067811865476,-7.071067811865475,25.606601717798213,-10.606601717798211
22.289686274214116,-6.845471059286886,25.934529411321172,-10.26820658893033
22.501110696304597,-6.613118653236518,26.251666044456893,-9.919677979854777
22.705132427757896,-6.374239897486897,26.55769864163684,-9.561359846230344
22.901550123756905,-6.129070536529763,26.852325185635358,-9.193605804794645
23.090169943749473,-5.87785252292473,27.135254915624213,-8.816778784387095
23.27080574274562,-5.620833778521305,27.406208614118427,-8.431250667781958
23.44327925502015,-5.3582679497899655,27.66491888253023,-8.037401924684948
23.607420270039437,-5.090414157503712,27.911130405059154,-7.635621236255568
23.763066800438637,-4.817536741017151,28.144600200657955,-7.226305111525726
23.91006524188368,-4.5399049973954675,28.365097862825518,-6.809857496093201
24.048270524660197,-4.257792915650726,28.572405786990295,-6.386689373476089
24.17754625683981,-3.971478906347805,28.766319385259717,-5.957218359521708
24.297764858882516,-3.6812455268467783,28.946647288323774,-5.5218682902701675
24.408807689542257,-3.387379202452912,29.113211534313383,-5.081068803679368
24.510565162951536,-3.090169943749474,29.265847744427305,-4.635254915624211
24.602936856769432,-2.789911060392292,29.404405285154148,-4.184866590588438
24.68583161128631,-2.4868988716485467,29.52874741692947,-3.7303483074728203
24.759167619387476,-2.181432413965424,29.63875142908121,-3.2721486209481365
24.82287250728689,-1.8738131458572447,29.734308760930332,-2.810719718785867
24.87688340595138,-1.5643446504023064,29.815325108927066,-2.3465169756034596
24.92114701314478,-1.2533323356430421,29.88172051971717,-1.879998503464563
24.9556196460308,-0.9410831331851423,29.9334294690462,-1.4116246997777133
24.980267284282718,-0.6279051952931324,29.970400926424073,-0.9418577929396985
24.995065603657316,-0.3141075907812812,29.992598405485975,-0.47116138617192177
25.0,2.220446049250313e-15,30.0,3.3306690738754696e-15
24.995065603657316,0.31410759078128336,29.992598405485975,0.471161386171925
24.980267284282718,0.6279051952931346,29.970400926424073,0.9418577929397018
24.9556196460308,0.9410831331851445,29.9334294690462,1.4116246997777167
24.921147013144775,1.2533323356430444,29.881720519717167,1.8799985034645663
24.876883405951375,1.5643446504023109,29.815325108927063,2.3465169756034663
24.82287250728689,1.8738131458572487,29.73430876093033,2.8107197187858732
24.759167619387476,2.1814324139654264,29.63875142908121,3.272148620948139
24.68583161128631,2.486898871648549,29.528747416929466,3.7303483074728234
24.602936856769432,2.789911060392294,29.404405285154148,4.184866590588441
24.510565162951536,3.0901699437494763,29.265847744427305,4.635254915624214
24.408807689542254,3.3873792024529163,29.11321153431338,5.081068803679375
24.297764858882513,3.68124552684678,28.94664728832377,5.52186829027017
24.17754625683981,3.9714789063478073,28.766319385259717,5.957218359521711
24.048270524660197,4.257792915650728,28.57240578699029,6.3866893734760914
23.91006524188368,4.5399049973954675,28.365097862825518,6.809857496093201
23.763066800438637,4.817536741017155,28.14460020065795,7.226305111525733
23.607420270039437,5.090414157503713,27.911130405059154,7.63562123625557
23.443279255020148,5.358267949789969,27.664918882530223,8.037401924684954
23.270805742745615,5.620833778521307,27.406208614118427,8.43125066778196
23.090169943749473,5.877852522924732,27.135254915624213,8.816778784387097
22.901550123756902,6.129070536529767,26.85232518563535,9.19360580479465
22.705132427757892,6.3742398974868975,26.557698641636836,9.561359846230346
22.501110696304593,6.613118653236522,26.25166604445689,9.919677979854782
22.289686274214112,6.845471059286888,25.934529411321172,10.268206588930333
22.071067811865476,7.071067811865475,25.606601717798213,10.606601717798211
21.845471059286886,7.289686274214117,25.268206588930326,10.934529411321176
21.61311865323652,7.501110696304596,24.919677979854775,11.251666044456893
21.374239897486895,7.705132427757895,24.56135984623034,11.557698641636842
21.129070536529763,7.901550123756904,24.193605804794643,11.852325185635356
20.877852522924734,8.090169943749475,23.816778784387097,12.135254915624213
20.620833778521302,8.270805742745619,23.431250667781956,12.406208614118428
20.358267949789965,8.443279255020151,23.03740192468495,12.664918882530227
20.09041415750371,8.607420270039437,22.635621236255567,12.911130405059156
19.81753674101715,8.763066800438637,22.226305111525726,13.144600200657955
19.539904997395464,8.91006524188368,21.809857496093194,13.36509786282552
19.257792915650725,9.048270524660197,21.386689373476088,13.572405786990293
18.971478906347805,9.177546256839811,20.957218359521708,13.766319385259717
18.681245526846777,9.297764858882516,20.521868290270167,13.946647288323774
18.387379202452912,9.408807689542256,20.08106880367937,14.113211534313383
18.09016994374947,9.510565162951536,19.635254915624206,14.265847744427305
17.789911060392292,9.602936856769432,19.184866590588435,14.404405285154148
17.48689887164855,9.68583161128631,18.73034830747282,14.528747416929466
17.18143241396542,9.759167619387474,18.272148620948133,14.63875142908121
16.873813145857245,9.822872507286887,17.81071971878587,14.73430876093033
16.564344650402305,9.876883405951379,17.346516975603457,14.815325108927066
16.25333233564304,9.921147013144779,16.87999850346456,14.881720519717168
15.941083133185142,9.9556196460308,16.411624699777715,14.9334294690462
15.627905195293131,9.980267284282716,15.941857792939697,14.970400926424073
15.314107590781282,9.995065603657316,15.471161386171923,14.992598405485975
15.0,10.0,15.0,15.0
14.7,10.0,14.7,15.0
14.4,10.0,14.4,15.0
14.1,10.0,14.1,15.0
13.8,10.0,13.8,15.0
13.5,10.0,13.5,15.0
13.2,10.0,13.2,15.0
12.9,10.0,12.9,15.0
12.6,10.0,12.6,15.0
12.3,10.0,12.3,15.0
12.0,10.0,12.0,15.0
11.7,10.0,11.7,15.0
11.4,10.0,11.4,15.0
11.1,10.0,11.1,15.0
10.8,10.0,10.8,15.0
10.5,10.0,10.5,15.0
10.2,10.0,10.2,15.0
9.9,10.0,9.9,15.0
9.600000000000001,10.0,9.600000000000001,15.0
9.3,10.0,9.3,15.0
9.0,10.0,9.0,15.0
8.7,10.0,8.7,15.0
8.4,10.0,8.4,15.0
8.100000000000001,10.0,8.100000000000001,15.0
7.800000000000001,10.0,7.800000000000001,15.0
7.5,10.0,7.5,15.0
7.2,10.0,7.2,15.0
6.9,10.0,6.9,15.0
6.6,10.0,6.6,15.0
6.300000000000001,10.0,6.300000000000001,15.0
6.0,10.0,6.0,15.0
5.700000000000001,10.0,5.700000000000001,15.0
5.4,10.0,5.4,15.0
5.1,10.0,5.1,15.0
4.800000000000001,10.0,4.800000000000001,15.0
4.5,10.0,4.5,15.0
4.200000000000001,10.0,4.200000000000001,15.0
3.9000000000000004,10.0,3.9000000000000004,15.0
3.5999999999999996,10.0,3.5999999999999996,15.0
3.3000000000000007,10.0,3.3000000000000007,15.0
3.0,10.0,3.0,15.0
2.700000000000001,10.0,2.700000000000001,15.0
2.4000000000000004,10.0,2.4000000000000004,15.0
2.0999999999999996,10.0,2.0999999999999996,15.0
1.8000000000000007,10.0,1.8000000000000007,15.0
1.5,10.0,1.5,15.0
1.200000000000001,10.0,1.200000000000001,15.0
0.9000000000000004,10.0,0.9000000000000004,15.0
0.6000000000000014,10.0,0.6000000000000014,15.0
0.3000000000000007,10.0,0.3000000000000007,15.0
0.0,10.0,0.0,15.0
-0.29999999999999893,10.0,-0.29999999999999893,15.0
-0.5999999999999996,10.0,-0.5999999999999996,15.0
-0.8999999999999986,10.0,-0.8999999999999986,15.0
-1.1999999999999993,10.0,-1.1999999999999993,15.0
-1.5,10.0,-1.5,15.0
-1.8000000000000007,10.0,-1.8000000000000007,15.0
-2.099999999999998,10.0,-2.099999999999998,15.0
-2.3999999999999986,10.0,-2.3999999999999986,15.0
-2.6999999999999993,10.0,-2.6999999999999993,15.0
-3.0,10.0,-3.0,15.0
-3.3000000000000007,10.0,-3.3000000000000007,15.0
-3.599999999999998,10.0,-3.599999999999998,15.0
-3.8999999999999986,10.0,-3.8999999999999986,15.0
-4.199999999999999,10.0,-4.199999999999999,15.0
-4.5,10.0,-4.5,15.0
-4.800000000000001,10.0,-4.800000000000001,15.0
-5.099999999999998,10.0,-5.099999999999998,15.0
-5.399999999999999,10.0,-5.399999999999999,15.0
-5.699999999999999,10.0,-5.699999999999999,15.0
-6.0,10.0,-6.0,15.0
-6.300000000000001,10.0,-6.300000000000001,15.0
-6.599999999999998,10.0,-6.599999999999998,15.0
-6.899999999999999,10.0,-6.899999999999999,15.0
-7.199999999999999,10.0,-7.199999999999999,15.0
-7.5,10.0,-7.5,15.0
-7.800000000000001,10.0,-7.800000000000001,15.0
-8.099999999999998,10.0,-8.099999999999998,15.0
-8.399999999999999,10.0,-8.399999999999999,15.0
-8.7,10.0,-8.7,15.0
-9.0,10.0,-9.0,15.0
-9.3,10.0,-9.3,15.0
-9.599999999999998,10.0,-9.599999999999998,15.0
-9.899999999999999,10.0,-9.899999999999999,15.0
-10.2,10.0,-10.2,15.0
-10.5,10.0,-10.5,15.0
-10.8,10.0,-10.8,15.0
-11.099999999999998,10.0,-11.099999999999998,15.0
-11.399999999999999,10.0,-11.399999999999999,15.0
-11.7,10.0,-11.7,15.0
-12.0,10.0,-12.0,15.0
-12.3,10.0,-12.3,15.0
-12.599999999999998,10.0,-12.599999999999998,15.0
-12.899999999999999,10.0,-12.899999999999999,15.0
-13.2,10.0,-13.2,15.0
-13.5,10.0,-13.5,15.0
-13.799999999999997,10.0,-13.799999999999997,15.0
-14.099999999999998,10.0,-14.099999999999998,15.0
-14.399999999999999,10.0,-14.399999999999999,15.0
-14.7,10.0,-14.7,15.0
-15.0,10.0,-14.999999999999998,15.0
-15.314107590781283,9.995065603657316,-15.471161386171925,14.992598405485975
-15.627905195293135,9.980267284282716,-15.9418577929397,14.970400926424073
-15.941083133185142,9.9556196460308,-16.41162469977771,14.9334294690462
-16.25333233564304,9.921147013144779,-16.879998503464563,14.881720519717168
-16.564344650402308,9.876883405951379,-17.346516975603464,14.815325108927066
-16.873813145857245,9.822872507286887,-17.81071971878587,14.73430876093033
-17.181432413965425,9.759167619387474,-18.272148620948137,14.63875142908121
-17.486898871648545,9.685831611286313,-18.73034830747282,14.528747416929468
-17.789911060392292,9.60293685676943,-19.184866590588438,14.404405285154146
-18.090169943749473,9.510565162951536,-19.63525491562421,14.265847744427305
-18.387379202452912,9.408807689542254,-20.081068803679372,14.113211534313383
-18.68124552684678,9.297764858882513,-20.52186829027017,13.94664728832377
-18.971478906347805,9.177546256839813,-20.957218359521708,13.766319385259719
-19.257792915650725,9.048270524660195,-21.38668937347609,13.572405786990291
-19.539904997395467,8.910065241883679,-21.8098574960932,13.365097862825518
-19.81753674101715,8.763066800438637,-22.226305111525726,13.144600200657955
-20.090414157503712,8.607420270039437,-22.63562123625557,12.911130405059154
-20.358267949789965,8.443279255020151,-23.037401924684946,12.664918882530229
-20.62083377852131,8.270805742745617,-23.43125066778196,12.406208614118427
-20.87785252292473,8.090169943749475,-23.816778784387097,12.135254915624213
-21.129070536529763,7.9015501237569055,-24.193605804794643,11.852325185635358
-21.3742398974869,7.705132427757892,-24.561359846230346,11.557698641636838
-21.61311865323652,7.501110696304597,-24.919677979854775,11.251666044456895
-21.845471059286886,7.289686274214114,-25.268206588930333,10.934529411321172
-22.071067811865476,7.0710678118654755,-25.606601717798213,10.606601717798213
-22.289686274214112,6.845471059286888,-25.934529411321172,10.268206588930333
-22.501110696304597,6.613118653236518,-26.251666044456893,9.919677979854777
-22.705132427757896,6.374239897486895,-26.55769864163684,9.561359846230342
-22.901550123756905,6.129070536529763,-26.852325185635358,9.193605804794645
-23.090169943749473,5.877852522924733,-27.13525491562421,8.816778784387099
-23.270805742745615,5.620833778521308,-27.406208614118427,8.431250667781962
-23.44327925502015,5.358267949789966,-27.664918882530227,8.03740192468495
-23.607420270039437,5.0904141575037105,-27.911130405059154,7.635621236255567
-23.763066800438637,4.817536741017152,-28.144600200657955,7.226305111525728
-23.91006524188368,4.539904997395468,-28.365097862825515,6.809857496093203
-24.048270524660193,4.257792915650729,-28.572405786990288,6.386689373476093
-24.17754625683981,3.971478906347806,-28.766319385259717,5.957218359521709
-24.297764858882516,3.6812455268467774,-28.946647288323774,5.521868290270167
-24.408807689542254,3.3873792024529132,-29.113211534313383,5.081068803679369
-24.510565162951536,3.090169943749475,-29.265847744427305,4.635254915624213
-24.602936856769432,2.7899110603922956,-29.404405285154144,4.1848665905884435
-24.68583161128631,2.486898871648548,-29.528747416929466,3.7303483074728225
-24.759167619387476,2.1814324139654233,-29.63875142908121,3.2721486209481347
-24.82287250728689,1.8738131458572458,-29.734308760930332,2.810719718785869
-24.876883405951375,1.5643446504023097,-29.815325108927063,2.3465169756034645
-24.921147013144775,1.2533323356430452,-29.881720519717167,1.879998503464568
-24.9556196460308,0.9410831331851435,-29.9334294690462,1.4116246997777153
-24.980267284282718,0.6279051952931314,-29.970400926424073,0.9418577929396971
-24.995065603657316,0.31410759078128236,-29.992598405485975,0.47116138617192355
-25.0,1.2246467991473533e-15,-30.0,1.83697019872103e-15
-24.995065603657316,-0.3141075907812799,-29.992598405485975,-0.4711613861719199
-24.980267284282718,-0.6279051952931335,-29.970400926424073,-0.9418577929397002
-24.9556196460308,-0.9410831331851455,-29.9334294690462,-1.4116246997777182
-24.92114701314478,-1.2533323356430428,-29.88172051971717,-1.8799985034645643
-24.87688340595138,-1.5643446504023073,-29.815325108927066,-2.346516975603461
-24.82287250728689,-1.8738131458572478,-29.73430876093033,-2.8107197187858715
-24.759167619387476,-2.181432413965425,-29.63875142908121,-3.272148620948138
-24.68583161128631,-2.4868988716485503,-29.528747416929466,-3.730348307472825
-24.602936856769432,-2.789911060392293,-29.404405285154148,-4.184866590588439
-24.510565162951536,-3.0901699437494727,-29.265847744427305,-4.635254915624209
-24.408807689542254,-3.387379202452915,-29.113211534313383,-5.081068803679372
-24.297764858882516,-3.681245526846779,-28.946647288323774,-5.521868290270168
-24.17754625683981,-3.9714789063478078,-28.766319385259713,-5.957218359521712
-24.048270524660197,-4.257792915650727,-28.57240578699029,-6.38668937347609
-23.91006524188368,-4.539904997395467,-28.365097862825518,-6.8098574960932
-23.763066800438637,-4.817536741017154,-28.14460020065795,-7.226305111525731
-23.607420270039437,-5.090414157503712,-27.911130405059154,-7.635621236255568
-23.44327925502015,-5.358267949789967,-27.664918882530223,-8.037401924684952
-23.27080574274562,-5.620833778521305,-27.406208614118427,-8.431250667781958
-23.090169943749476,-5.87785252292473,-27.135254915624213,-8.816778784387095
-22.901550123756902,-6.129070536529766,-26.852325185635355,-9.193605804794649
-22.705132427757892,-6.374239897486897,-26.55769864163684,-9.561359846230344
-22.501110696304593,-6.613118653236521,-26.25166604445689,-9.91967797985478
-22.289686274214116,-6.845471059286887,-25.934529411321172,-10.268206588930331
-22.071067811865476,-7.071067811865475,-25.606601717798213,-10.606601717798211
-21.845471059286886,-7.289686274214116,-25.26820658893033,-10.934529411321174
-21.61311865323652,-7.501110696304595,-24.91967797985478,-11.251666044456892
-21.374239897486895,-7.705132427757894,-24.561359846230342,-11.55769864163684
-21.129070536529767,-7.901550123756904,-24.193605804794647,-11.852325185635356
-20.877852522924734,-8.090169943749473,-23.816778784387097,-12.13525491562421
-20.62083377852131,-8.270805742745615,-23.431250667781963,-12.406208614118425
-20.35826794978997,-8.443279255020148,-23.037401924684957,-12.664918882530223
-20.09041415750371,-8.607420270039437,-22.635621236255567,-12.911130405059156
-19.817536741017154,-8.763066800438637,-22.22630511152573,-13.144600200657953
-19.53990499739546,-8.910065241883682,-21.809857496093194,-13.365097862825523
-19.25779291565072,-9.048270524660198,-21.38668937347608,-13.572405786990297
-18.9714789063478,-9.177546256839813,-20.957218359521704,-13.766319385259719
-18.68124552684678,-9.297764858882514,-20.521868290270167,-13.946647288323772
-18.387379202452912,-9.408807689542254,-20.081068803679372,-14.113211534313383
-18.090169943749476,-9.510565162951535,-19.635254915624213,-14.265847744427303
-17.789911060392296,-9.60293685676943,-19.184866590588445,-14.404405285154144
-17.486898871648553,-9.685831611286309,-18.73034830747283,-14.528747416929464
-17.181432413965425,-9.759167619387474,-18.272148620948137,-14.63875142908121
-16.873813145857245,-9.822872507286887,-17.81071971878587,-14.73430876093033
-16.5643446504023,-9.876883405951379,-17.346516975603453,-14.815325108927068
-16.253332335643037,-9.921147013144779,-16.879998503464556,-14.881720519717168
-15.94108313318514,-9.9556196460308,-16.41162469977771,-14.9334294690462
-15.627905195293131,-9.980267284282716,-15.941857792939699,-14.970400926424073
-15.314107590781283,-9.995065603657316,-15.471161386171925,-14.992598405485975
